# TF Coordinate Frame ID: camera_rgb_optical_frame(data: camera_rgb_optical_frame)
1493986656.068194 -0.248244 1.061201 -0.278735 0.036492 0.534444 -0.228378 0.812946
1493986656.102185 -0.248218 1.067866 -0.285907 0.038381 0.540077 -0.229126 0.808916
1493986656.168168 -0.246185 1.088891 -0.293886 0.033755 0.553359 -0.244545 0.795520
1493986656.236174 -0.243895 1.099652 -0.301489 0.022319 0.570508 -0.262382 0.777932
1493986656.402167 -0.215769 1.122605 -0.305729 0.029083 0.620327 -0.269355 0.736068
1493986656.436165 -0.214193 1.125620 -0.305039 0.030654 0.629133 -0.270029 0.728242
1493986656.502166 -0.219695 1.113646 -0.303858 0.023001 0.648673 -0.264128 0.713394
1493986656.570163 -0.200455 1.172031 -0.324973 0.017577 0.667187 -0.261805 0.697145
1493986656.770183 -0.185733 1.165285 -0.319727 0.019550 0.707994 -0.278532 0.648677
1493986656.836179 -0.182261 1.175556 -0.320311 0.014573 0.723501 -0.284048 0.629008
1493986656.936190 -0.181128 1.165141 -0.321834 0.018414 0.745431 -0.301050 0.594442
1493986656.970169 -0.184999 1.163021 -0.323699 0.021124 0.752029 -0.303109 0.584919
1493986657.002167 -0.190888 1.160486 -0.319379 0.021783 0.759513 -0.305088 0.574096
1493986657.102177 -0.182441 1.170057 -0.317305 0.020305 0.785468 -0.301460 0.540138
1493986657.202166 -0.183154 1.146655 -0.338489 0.022231 0.804043 -0.299274 0.513280
1493986657.302166 -0.182047 1.150749 -0.348962 0.030661 0.820757 -0.306980 0.480813
1493986657.402166 -0.178112 1.147434 -0.377839 0.029453 0.835600 -0.316603 0.447959
1493986657.570165 -0.185867 1.121316 -0.385695 0.039240 0.854199 -0.337916 0.393213
1493986657.670182 -0.183368 1.117567 -0.403150 0.047182 0.852238 -0.353342 0.382902
1493986657.770175 -0.174728 1.105561 -0.413069 0.047660 0.856843 -0.355895 0.369983
1493986657.802167 -0.174059 1.101431 -0.413727 0.049579 0.856815 -0.358550 0.367223
1493986657.870190 -0.173125 1.101803 -0.415944 0.052247 0.856424 -0.366501 0.359839
1493986657.970237 -0.171386 1.086565 -0.421844 0.056049 0.858477 -0.374950 0.345382
1493986658.070166 -0.171566 1.077693 -0.424430 0.055514 0.864195 -0.376680 0.328933
1493986658.236177 -0.168591 1.074766 -0.428357 0.055341 0.869411 -0.378201 0.313091
1493986658.336185 -0.162652 1.077968 -0.425058 0.052498 0.873861 -0.378142 0.301030
1493986658.436167 -0.162107 1.081123 -0.424336 0.051717 0.879591 -0.380214 0.281217
1493986658.470165 -0.163819 1.085652 -0.421409 0.051373 0.881562 -0.380931 0.274044
1493986658.570177 -0.163113 1.085399 -0.419440 0.046707 0.887299 -0.381313 0.255186
1493986658.636186 -0.161158 1.085979 -0.420077 0.044786 0.890794 -0.382904 0.240550
1493986658.870166 -0.160233 1.084219 -0.417361 0.044668 0.901777 -0.391074 0.178505
1493986658.970166 -0.157396 1.087241 -0.421564 0.046818 0.906870 -0.390868 0.150392
1493986659.002179 -0.155888 1.088126 -0.423908 0.047455 0.907560 -0.392650 0.141098
